Cromosoma;Maximo;Minimo;Promedio
"111001011111000100111101100111";0.8068;0.2237;0.50389
Cromosoma;Maximo;Minimo;Promedio
"111110100010001000111011111100";0.9547;0.1573;0.6942
"111101001010010110001000111001";0.9133;0.622;0.8385999999999999
"111101001010010110001000111001";0.9133;0.622;0.79175
"111101001110010110000101110110";0.9151;0.622;0.80314
"111101001010010110101000111001";0.9133;0.7995;0.9019099999999998
"111101001010010110101000111001";0.9133;0.7995;0.9019099999999998
"111101001010010110101000111001";0.9133;0.9133;0.9132999999999998
"111101001010011110101000111001";0.9133;0.69;0.8909699999999997
"111101001010011110101000111001";0.9133;0.9133;0.9132999999999998
"111101001010011110101000111001";0.9133;0.9133;0.9132999999999998
"111101001010010110001010111001";0.9133;0.9133;0.9132999999999998
"111101001010010110001010111001";0.9133;0.9133;0.9132999999999998
"111101001010010110001010111001";0.9133;0.9133;0.9132999999999998
"111101001010110110001010111001";0.9135;0.9133;0.9133199999999999
"111101001010110110001010111001";0.9135;0.9133;0.9133399999999998
"111101001010110110001010111001";0.9135;0.9133;0.91342
"111101001010110110001010111001";0.9135;0.9133;0.9134399999999999
"111101001010110110001010111001";0.9135;0.9133;0.9134399999999999
"111101001010110110001010111001";0.9135;0.9133;0.9134399999999999
"111101001010110110001010111001";0.9135;0.9133;0.9134399999999999
